File:,"../Sentiment/Sentiment_train_set_4.csv"
TEXT,VALUE,PRED,CORRECT
"@charltonbrooker Today's Grauniad article: best. title. ever. ",1,1,MATCH
"@My2Cynts kittens are cute then they grow up n become CATS ",-1,1,FAIL
"my fucking phone is totally broke ",-1,1,FAIL
"Coming back here brings the fondest memories. Im crying  i miss July 14th 2007 more than anything.",-1,-1,MATCH
"I really need a massage. I miss Matthew. ",-1,-1,MATCH
"home. i sure did have fun.  PCS.",1,-1,FAIL
"@mileycyrus is true that you're going to be in Suth America next year?, well w/e, just wanted to tell you, enjoy your free day! i loveyou ",1,1,MATCH
"@Technogati well it rained a little bit after i twitted ",1,1,MATCH
"@OweeW oops late reply   umm its due tuesday.. ",1,1,MATCH
"Watching the Pokerstars on TV  Strange the odds of winning these tournaments is now almost considered impossible ",1,1,MATCH
"@Lizzlie Awwwhhh, boo-urns to pain ",-1,-1,MATCH
"just remembered I have to be at marquee at 9:45? AM? If anyone wants to come and entertain me that would be greatly appreciated ",1,-1,FAIL
"@bosskhouston Thx for the credits.  ",1,1,MATCH
"had a great weekend hanging out with the @streko family.  now it's time for a crazy good week of work ",1,1,MATCH
"@deraven Oh no... very sorry to hear that. ",-1,-1,MATCH
"I'm actually sad ab leavin the boro for good!! Last night here. Gotta make it count ",-1,1,FAIL
"@danamlewis So right about the company - wish I was going to be there (was up there last weekend) but dad duty calls  @daphneleigh",-1,-1,MATCH
"@akiraLOVE haha.. i thinks he looks hot in both movies. haha ",1,-1,FAIL
"@AllAmeriBadGirl his bday was yesterday ",-1,1,FAIL
"@CaKeStAcKeR yes. i think you should make the ones you always talk about and say you are going to make ",1,-1,FAIL
"so tired i forget to write a caption...wrigley and i are headed to bed ",1,-1,FAIL
"My yarns are absent from my shop today for a LYS visit, but I still have lots of roving and patterns at http://fibrofibers.etsy.com ",1,-1,FAIL
"Picked up over a dozen MLM/MMF types on twitter in the last day. Blocked them, and they still add to my #spymaster count! I'm USING YOU! ",1,-1,FAIL
"P.S. I'm going to the Animal Shelter tomorrow. Hopefully I'll come home with a new little friend ",1,1,MATCH
"@JenWagnerWriter Will scan something ",1,1,MATCH
"goin to pick up my cuz  i`ll be back soon peace ;)",1,-1,FAIL
"woo, hanging with the besties! ",1,1,MATCH
"Just got back from a concert!! it was amazing!! now im chilling with the family lots of fun!! ",1,-1,FAIL
"i am letting you read this....... ",1,1,MATCH
"@youngavenger There is no place for such a thing! Well, without murder. If you elect to kill something, we can get a blueberry bush. ",1,1,MATCH
"@strawz DAWWH I'm missing out on the drama ",-1,1,FAIL
"I GOT A KITTY TODAY!!!!! ",1,-1,FAIL
"@JeffBishop Yeah. Just a tad disappointing but @karenshandrow is making a bigger deal out of it... ",-1,1,FAIL
"@TomFelton how about strawberry-rhubarb-apple crisp? It's what I'm making ",1,1,MATCH
"On second thought, Bus. Fin. can wait. I need to reward myself first for being a good girl thus far. ",1,-1,FAIL
"It feels so great coming home to Dexter. He is so full of love and ENERGY! Lol! I Love him ",1,-1,FAIL
"@Calumfan1 Of course youre excited, youll be breathing the same air as ZQ in a perfectly legal fashion!Youll see the brows! I want 2be u ",-1,-1,MATCH
"two people got shot in our town within 3 days ",-1,-1,MATCH
"Not feeling to well today ",-1,-1,MATCH
"@honorsociety i did yesterday!  8/2 &amp; 8/8!",1,-1,FAIL
"Berbatov is actually tracking back and tackling! Maybe they have had a word with him  #mu",1,1,MATCH
"@DRBrooklyn730 sooo, MAC #35 lashes r WAY too big for my small eyes.  they're so purty, tho. And loving the way Graftobian HD looks!",-1,-1,MATCH
"good phone call to helena..  she's a whore and we're taking cardboard cut-outs to the formal. how sad are we!",1,-1,FAIL
"Going to bed what a great weekend have to be up earily for school tomorrow urg well night night sweet dreams  sleep tight hehe ",1,1,MATCH
"@Blondeyy Eh.. Captain Planet used to come on at that time. ",1,1,MATCH
"@iAlbertt you should. poor baby ",-1,1,FAIL
"@thisisnevermore  eek! i totally want one of those. have to save my money till the end of the month for moving. :C  maybe we can trade? ",1,-1,FAIL
"PRAYER NEEDED! Tough night and tonight will b tougher! Havent slept good, and I have HOMEWORK! LOL ",-1,-1,MATCH
"@Vorruna hahah well at least it's not a dead raccoon  my hair literally feels synthetic, it's extremely creepy lol",-1,-1,MATCH
"@taylorswift13 I hope that realizationn of being nocturnal didn't keep you up all night ",1,1,MATCH
"One day I will have a trending topic.  I don't think #epicmeat or #jergensmaterial will work.",-1,-1,MATCH
"@Carlos24seven I wanna give you a hug ",-1,1,FAIL
"about to do my english exam ",1,-1,FAIL
"@TerryPettit glad to hear that you are still using the products even though you're @ perfect weight.  Me too!  &quot;healthy fast food&quot; baby! ",1,1,MATCH
"@voek I've been on it about 6 hours today?  I couldn't win ANYTHING online for ages then got 600 BP then dropped to 400.  Bad times ",-1,-1,MATCH
"@JaytheBigLug No, no, sir; thank YOU! I think these columns are the most exciting thing to happen to the site in YEARS! ",1,-1,FAIL
"STOP! playing with my delirium! delirium - ladyhawke. they dont play the song here ",-1,-1,MATCH
"I'm gonna call it a night. Cya all tomorrow. ",1,1,MATCH
"History project with whit! Omg I'm sooo full ",-1,1,FAIL
"@semperamy09 yep.  one more hour to go.  then church, then bed myself . perhaps I'll jump online before I go to work though ",1,-1,FAIL
"@nutmeg3710 always waking up at 5 30 in the morning!  how r ya doin'? i guess tired? =D",-1,-1,MATCH
"I think that either my CPU or motherboard is dead.  Less than a year old it is.",-1,-1,MATCH
"OMG! new to twitter need more followers please follow me ",1,1,MATCH
"@tdm911 Sounds alright, I can do a little dark and trippy ",1,-1,FAIL
"@jessewave This intrigued me from 1st time I saw the blurb. Seriously want to read it now! Thanks for the rec ",1,-1,FAIL
"shitfuckdickwankerr. why am i so angry today. eugh ",-1,-1,MATCH
"@meanpower ma las de twitter dupa 4 ore de somn ",-1,1,FAIL
"@AGistheWest heyy loserrr thanks for hitting me back  have fun with your wonderful mix thoughhh",-1,1,FAIL
"@roshnimo yup .. sad eh .. Betty man .. it should have been betty ",-1,-1,MATCH
"@xlovexaholicx  we can have shots of whiskey, Vodka, or the blue cocktail or Bloody Mary cocktail xD",1,-1,FAIL
"Today is such a  wonderful rainy day to sleep....I gotta work   &quot;D.O.L.O&quot;",-1,1,FAIL
"1108 words down only 392 to go ",1,-1,FAIL
"@Jessmsmell nu didnt watch shameless. im too excited to sit and watch stuff. life is too amazing right now to sit. ",1,1,MATCH
"r @darkuncle #268 @ 28:00 is the same thing  I &lt;3 it",1,-1,FAIL
"Another day of being: sad, lonely and depressed at work.   Blah!",-1,-1,MATCH
"going to class.. ttyl. hopefully making a video today. ",1,1,MATCH
"is starting to yawn uncontrollably. LOL! ",1,1,MATCH
"well the school holidays are now over!! back to early mornings getting kids ready for school tomorrow ",-1,-1,MATCH
"@melodyjae Your dog is a pervert ",1,1,MATCH
"@redallisonblack I'm sure you're going to have a successful career. Keep it up ",1,1,MATCH
"it's so fucking cold in my house. ",-1,-1,MATCH
"Just got home from takin Kat my best friend home  i miss her already... :'( BUDDY!!!!!!!",-1,-1,MATCH
"@elcondetin but Kiwein made up for it  http://bit.ly/7se4I",1,1,MATCH
"Still sick. I feel like I am going to die. ",-1,-1,MATCH
"Currently amazed at how a conversation with someone that lasts till like 1 in the morning can fix (almost) everything ",1,-1,FAIL
"@khouryrt you creepy thieve ! ",1,1,MATCH
"I am about to go to the dentist ",-1,-1,MATCH
"@PattinsonRobT the people that do that are not happy with their own lives..that is what I think, it is pathetic! keep ur head up! ",1,-1,FAIL
"@theRealGomez Yep  Random fact - you &amp; nick jonas are my fave celeb couple of all time ",1,1,MATCH
"they cant do my cake because of the copyright on the picture of tom  bastards",-1,-1,MATCH
"Just asked Molls if she wanted to go out &amp; party like rock stars. But she's been slidin' down sand hills all day. So, the answer was no. ",-1,-1,MATCH
"oh god my laptop is broken !! i need someone to fix it !! i hate this stupid computer i now have to use, it`s sooo slow ",-1,-1,MATCH
"Now I also feel like going to FL to see my relatives again cause I miss them  I have only met them all once in 14 years.",-1,-1,MATCH
"I am enjoying Backstreetboys' music. They are a great band ",1,-1,FAIL
"@pam777 what is a &quot;good imune&quot; and why do you hate it? ",1,1,MATCH
"lunch time! but i havent Appetite! ",-1,-1,MATCH
"ew my hair is so screwed. ahahah. i hate my life ",-1,-1,MATCH
"the scale hates me today,even more than usuall ",-1,1,FAIL
"@crossjunkie Thanks made me smile, was meant to bring Ali lunch except forgot so she has no food ",-1,-1,MATCH
"@monee awww thanks for the #FF love ",1,1,MATCH
"has been doin graphics work for aaaaaaaaaaaages now  x",-1,1,FAIL
"I didn't get to take Kyle to watch UP today.  Mommy took the van to work and the extra carseat was in my sisters car. Postponed till Wed.",-1,-1,MATCH
"@CSI_PrintChick Hiya that's sweet that you are really CSI   I thought it was just your tweet name...",1,1,MATCH
"OMG NOOOOO! how can my SUSAN BOYLE not win and get like 2nd place losing to some stupid dancers! damn.... ",-1,-1,MATCH
"Invasion of the Old Ladies has just ended, still have to clean up not going to be able to make it to the tweetup tonight. ",-1,-1,MATCH
"@ezrabutler thanks ",1,1,MATCH
"I won't have internet access at the lake, so I'll catch up on tweets when I get back. ",1,-1,FAIL
"@ThaBusDriva Hell yah! That's me! ",1,1,MATCH
".@MyInnerJules oh sorry i wasn't saying that, just that American society is violent ",-1,1,FAIL
"@peate happy birthday ",1,1,MATCH
"..spare me, i had enough....i just want to be loved in return ",-1,-1,MATCH
"@MCRsavedMilife awh  still no sign of tayce?",-1,1,FAIL
"Done with school until May 16! Yay! Too bad for May 15th's surgery though...gonna hurt. Gonna hurt baaaad. ",1,1,MATCH
"After 30mins of intense labor i won gracie over...she said i was cooler than banilduh...shortly after...she forgot my name ",-1,-1,MATCH
"relaxing on my first day off from work and 6 form since like forever!!! ",1,-1,FAIL
"@manishrawat thank you for your feedback, got your point ",1,1,MATCH
"Sundays is quite possibly the worst day of the week to be at my boyfriends. I get no lie in, he sets the alarm for 8 when work is at 10! ",-1,-1,MATCH
"I need to back in Lansing asap  hmph!",-1,-1,MATCH
"@Appolonia_Cruz I saw you dropped out of the race...   But did you also stop voting for your sisters?",-1,-1,MATCH
"Wishing I were laying in the sunshine working on my tan ",1,-1,FAIL
"Going to work ",-1,-1,MATCH
"@MegElizCole  ughhh SHEA???? REALLY I LEAVE AND YOU SEE HIM...notttt cool!!! ",-1,-1,MATCH
"No open windows today, it is 36 degrees and cloudy outside ",-1,1,FAIL
"@rascalflatts awwwww I love you too! Hugz ",1,1,MATCH
"I cried when I heard the girl from Tracy was found today. It was soooo sad   May god bless Sandra Cantu.",-1,-1,MATCH
"Sitting here at work wishing my iMac was with me to download the new 3.0. I've got my macbook but no itunes library!! ",-1,-1,MATCH
"I want to cry  just did a 12 mile road march with all my gear and a 60 pound ruck sack, I hate the ARMY",-1,-1,MATCH
"I guess I'll just go to bed... ",-1,-1,MATCH
"@ohhushmusic aww that's devotion! I'm so excited! ",1,1,MATCH
"@ChildPerson Children have no rights in the United States ",-1,-1,MATCH
"The Times' top 50 best movie villains: http://tr.im/pH1C - Hannibal not being 1st is pure mockery ",-1,1,FAIL
"@firstlady1408 Thanks honey  I'm at the doctor now...hopefully he'll have some good drugs for me!",-1,1,FAIL
"playin w/ the kids. ",1,1,MATCH
"@JonathanRKnight DON'T BE A GRUMPY, WHEN THE ROADS GETS BUMPY.JUST SMILE AND SMILE AND BE HAPPY ",1,1,MATCH
"@sgsuperone Nice read, nice view, too. It took me sometime to realize how much I like ladies with ink, need to do something about that. ",1,-1,FAIL
"Ahh. The next couple days are gonna be busy  So much to do so little time!",-1,-1,MATCH
"@m1ssnina thx mama  i agree. age is nothing as long as happy right?",1,1,MATCH
"Ed is awake! But Andy doesn't feel so hot so she's still sleeping. ",1,1,MATCH
"@AlexSpenceX that sounds like a plan but mummy wont let me take another day off ",-1,1,FAIL
"@scottsands I'm jealous! Hope you had fun at the show, I couldn't make it ",-1,-1,MATCH
"shakalohana week two of flat wavez no surfin ",-1,1,FAIL
"@derekbradley raining in Norwood now ",-1,-1,MATCH
"@SamanthaMc_x Haha yeah i think it sounds a bit better ",1,1,MATCH
"@JeannieHolmes I hang out with the strangest people...makes me feel more normal ",1,-1,FAIL
"@Boobie_Bradshaw it's a shame they R so Hot! LOL ",-1,1,FAIL
"@coyoteshipcheck dang... bye Reino ",-1,1,FAIL
"@thewarriorbunny he called! We are cool now. Silly really  I feel like a teenager",1,-1,FAIL
"@shelbey me toooooo   http://myloc.me/5wZb",-1,1,FAIL
"@MartyCapeCod I'm afraid to agree w/ you ",-1,1,FAIL
"i wanna go to no doubt and paramore!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!concert tomarow but no one wanna go with me ",-1,-1,MATCH
"Survs's development team is heading off to WWDC 2009. We'd love to meet you there. Look for two guys wearing Survs's t-shirts ",1,1,MATCH
"@jwilker Yes, attached to their foreheads.  So fun!",1,1,MATCH
